__change_den_c,__change_den_dz,__change_den_h,__change_den_hu,__change_den_hv,__change_den_ice,__change_num_c,__change_num_dz,__change_num_h,__change_num_hu,__change_num_hv,__change_num_ice,__new_intersection,__new_pred,__new_truth,__new_union,active_cell_coverage_fraction,budget_fraction,budget_max_count,case_wall_runtime_seconds,change_region_c_rel_l2,change_region_dz_rel_l2,change_region_h_rel_l2,change_region_hu_rel_l2,change_region_hv_rel_l2,change_region_ice_rel_l2,change_region_momentum_rel_l2,debris_front_final_error_km,debris_front_mae_km,false_positive_wet_fraction,final_wet_iou,front_zone_h_rel_l2,front_zone_momentum_rel_l2,front_zone_wet_iou,mean_wet_iou,method,mixture_volume_relative_error,newly_wet_iou,newly_wet_precision,newly_wet_recall,scenario_id,selected_patch_count,trajectory_c_rel_l2,trajectory_dz_rel_l2,trajectory_h_rel_l2,trajectory_hu_rel_l2,trajectory_hv_rel_l2,trajectory_ice_rel_l2,trajectory_momentum_rel_l2,wet_overprediction_ratio
40222.31467985641,72501.22977417707,34331585.49860616,43822686784.623886,44527558414.58065,256.1750057976751,8087.519480466843,61806.69544541836,19505047.41583109,14087256038.672302,12509249838.772705,85.42082730179634,9975,1082107,15222,1087354,0.02338950106311563,0.05,10,19.221120700007305,0.4484088136011738,0.9233047621277154,0.7537486980249369,0.5669747310018965,0.5300309038547831,0.5774488347063574,0.548666460345228,2.520000457763672,11.046126954782178,0.5793329443452329,0.2347946411724008,0.9474944743486482,0.9429021065048189,0.6056240378745302,0.35710233676836306,RiskTemporal_B05,0.11663142169875391,0.009173645381356945,0.00921812722771408,0.655301537248719,JILONG_EI_0009,10.0,1.5668209539750433,1.1050347318205744,1.089978942675974,0.7493636053802186,3.8763554471057637,0.9914790554501319,2.7529915727731877,1.5340819703257655
34723.52818476036,80957.28886890411,25376808.590233617,29555542556.124622,32695617830.375175,132.39841732103378,7105.18108189106,70789.64010381699,14174037.941992585,8525720097.936322,7319166746.891602,58.607489538146524,9768,1016659,13878,1020769,0.022689106106512355,0.05,10,18.680761399999028,0.4523511014587668,0.9350974533380578,0.7473573216159469,0.5370887642795448,0.4731360573120254,0.6653270220542763,0.5045112389210977,4.049999237060547,11.474468320872344,0.5717286953623856,0.23868479805155268,0.9425963834945911,0.9544916741154703,0.6109487394341363,0.3622411191080412,RiskTemporal_B05,0.13599574283712265,0.00956925611965097,0.009607941305786896,0.7038478166882837,JILONG_EI_0019,10.0,1.519501630892399,1.0971593891125637,1.0790798404593607,0.7399716644602632,4.034072515975626,1.073527948419252,2.839489305250909,1.5139273107216942
37156.73530562222,92481.5048237443,28811680.589952502,36007318607.353355,38825466307.84117,337.49634789254924,8403.475149154663,81088.37620127201,16944692.890512347,11994281569.921696,11730924342.657127,105.57883283866926,9507,1052900,14980,1058373,0.02317450624043345,0.05,10,18.389598000008846,0.4755658773623059,0.9363794154217163,0.7668890826653534,0.5771540255683476,0.5496772676032091,0.559311681016013,0.5630656595717699,1.9200000762939453,11.005986314529265,0.585071159195947,0.23640552995391706,0.9458141507709442,0.9378512557634502,0.6237541968878707,0.35163937175930793,RiskTemporal_B05,0.16821906773738216,0.008982655453228683,0.009029347516383322,0.6346461949265687,JILONG_EI_0029,10.0,1.6782806981759002,1.0845789972513693,1.134722563497276,0.7501276560374378,5.1205261812194385,1.0286425358343527,3.6258762145381467,1.549738657349982
31955.091040883213,76885.32242523134,20727144.440217003,24945357901.363438,27596105776.552704,365.74111234099837,7645.484594643116,66919.00070214272,11923927.17776097,8394699935.002057,6959723984.062339,111.16383766214378,9105,990154,13648,994697,0.025431180811337176,0.05,10,18.31126440000662,0.48913921155663537,0.9329384739398054,0.7584726422085744,0.5801064828806076,0.5021946799471494,0.5513087368055626,0.5405871024550762,4.590000152587891,14.469295943077181,0.5821336546984056,0.24827007758439926,0.9420978060023186,0.9289341856177782,0.6424806194099068,0.35168807299739635,RiskTemporal_B05,0.17180642537119764,0.00915354122913812,0.009195539279748402,0.667130715123095,JILONG_EI_0039,10.0,1.7000080412059984,1.0788272454791266,1.120599870229213,0.7596010431222787,4.846460031543003,1.0158393578370823,3.4240176353017486,1.527591024460367
41456.80176700652,81330.60382030904,34403119.76943549,44620929967.68163,47197874190.75491,157.03875714167316,10023.726645469666,69587.51475477219,19948562.53081563,16181171492.126465,13649811413.814453,71.00451941161282,8971,1038205,15879,1045113,0.021760475241189837,0.05,10,18.33078150000074,0.491718683116106,0.9249934658255617,0.7614771740755392,0.6021929566678618,0.5377768543246745,0.6724183728875485,0.569990956897248,1.3800010681152344,10.200000244629132,0.5751954585590187,0.23199632377076085,0.9491603837294926,0.9547909369372694,0.5876234845095684,0.3553431436690358,RiskTemporal_B05,0.1427055944082199,0.008583760799071487,0.008640875356986337,0.5649600100762012,JILONG_EI_0049,10.0,1.5555197315906582,1.111551881383371,1.0783674550707791,0.7899686250373197,3.3340886973250607,1.0897210289634438,2.4147041077542655,1.4986509798452239
35336.20548405871,71319.21658104658,25095066.9514793,30098298892.845074,32967696484.868633,158.63836451845418,7676.43027317524,61260.22275996208,14481046.763073107,9211596709.083458,7765654076.340332,62.739494455348904,9553,997907,14334,1002688,0.022854327208187735,0.05,10,18.269853100006003,0.46608990734401917,0.9267999546687212,0.7596364554748585,0.5532182297746451,0.48533847234059857,0.6288779904743492,0.5188431109822123,3.030000686645508,11.095141154805749,0.5748048563950606,0.24504492147315,0.9449019079802701,0.9375856497132289,0.6151842056341574,0.35491797639700595,RiskTemporal_B05,0.12980681753985931,0.00952739037467288,0.00957303636511218,0.6664573740756244,JILONG_EI_0059,10.0,1.5238600347339366,1.0950769613547664,1.1250169410879978,0.7238422316698995,4.4329798524488355,1.0719453321361956,3.1287622086353863,1.488018186107358
41179.61009020358,93895.09017384052,32519565.917531945,41913293246.8365,43899213296.85787,56.4482686781848,10077.165000036359,82984.62661075592,19730527.18537894,15629800625.233221,12769382983.143497,87.12815465217784,8923,982621,15482,989180,0.02386894536717266,0.05,10,18.245028999997885,0.49468423452263127,0.9401072034735455,0.7789273886920708,0.6106619020834049,0.5393324951233158,1.2423785507375085,0.5752778252046535,1.5300006866455078,10.081049166255063,0.5810905263406875,0.22972222222222222,0.949549613703239,0.9522385471444876,0.5846890226153894,0.3404035224323857,RiskTemporal_B05,0.15860342184782109,0.009020602923633717,0.00908081549244317,0.5763467252292985,JILONG_EI_0069,10.0,1.5202767459648094,1.0984549906241783,1.0728842807989263,0.7737954538807672,3.9662323792686713,1.3370359179081592,2.840169740322994,1.4409312019277059
34522.367499114014,70680.4330277443,22762082.71220981,27021347192.559578,30356389200.495186,84.34853874377063,7941.991901814938,60762.743488550186,12848003.182458669,8778549148.523046,7049338669.2453785,60.30584157799814,9237,985785,14159,990707,0.02339162814520994,0.05,10,18.30487799999537,0.479638939689063,0.9271907417068084,0.7512972846118278,0.5699777119764229,0.48189135109319836,0.8455531457707606,0.525218211272669,3.0600013732910156,10.854718452634316,0.5854509673666392,0.23599297012302284,0.9457307235207237,0.939556430177457,0.595950246075951,0.34150242069524184,RiskTemporal_B05,0.12238024319675261,0.009323644629542337,0.009370197355407112,0.652376580266968,JILONG_EI_0079,10.0,1.533072873653756,1.096468685858989,1.0880361856234972,0.746653210439388,2.8122304524520736,1.1747687899728423,2.030097224397433,1.473666190905668
41530.304752483964,92778.21813547611,36418069.187190264,48247420689.86666,49005519897.72861,335.1282274788109,9171.126937508583,80281.03529596329,21634859.41753578,17126140914.080994,14691937133.811523,109.61834608123172,9334,1053480,15977,1060123,0.021822320153081845,0.05,10,18.256293900005403,0.46992526313003385,0.9302152788552678,0.7707589571126567,0.5957893093299539,0.5475414858796585,0.5719210979797719,0.5719862653256397,1.5,10.535454739223827,0.5691798888911702,0.23608531352078396,0.9481654582277232,0.9554989205661224,0.5980140359113629,0.3647952065972604,RiskTemporal_B05,0.1416843274209756,0.00880463870701796,0.008860158712078065,0.5842148087876322,JILONG_EI_0089,10.0,1.5906439666132572,1.1062462764711134,1.0826055137531285,0.7742640656637192,3.6625163829248906,0.9901815093032276,2.630880922804442,1.5153359565998406
35330.011182207614,81570.61096382141,25931617.838365976,31422612033.22519,34421923012.18359,374.22750192903914,7804.214666008949,71527.59724283218,15602748.627038002,10398789129.785156,11228654772.452637,121.96814488315357,9303,979469,14577,984743,0.02162030053117494,0.05,10,18.324617099991883,0.46999443528866885,0.9364184472831162,0.775685636344823,0.5752680365219849,0.5711448962783714,0.5708938425172622,0.573116259167718,2.7900009155273438,11.12387344954719,0.5572842048583185,0.24806306918580942,0.94631001091379,0.9348992350087442,0.624932074900911,0.37316466472454524,RiskTemporal_B05,0.15599679872498612,0.009447134937745178,0.009498003510065148,0.6381971599094464,JILONG_EI_0099,10.0,1.5516153076514405,1.091663640017239,1.1207412693213517,0.7409069318990836,5.184637240709297,1.0092813234706637,3.653391994501383,1.4848866977753699
