time_s,front_distance_m,remaining_distance_m
0.0,0.0,17624.0
10.0,70.19529852959417,17553.804701470406
20.0,70.19529852959417,17553.804701470406
30.0,70.19529852959417,17553.804701470406
40.0,70.19529852959417,17553.804701470406
50.0,164.99906930261432,17459.000930697384
60.0,496.8122670081849,17127.187732991813
70.0,671.9994805366804,16952.00051946332
80.0,806.9949726874385,16817.00502731256
90.0,895.0350051357908,16728.96499486421
100.0,1018.0464910078883,16605.953508992112
110.0,1118.847101617376,16505.152898382625
120.0,1257.010004579768,16366.989995420232
130.0,1342.8915578292122,16281.108442170787
140.0,1413.8540537186127,16210.145946281387
150.0,1481.0544607916045,16142.945539208395
160.0,1566.9360140410486,16057.063985958952
170.0,1585.617160217501,16038.382839782498
180.0,1645.0000837020511,15978.99991629795
190.0,1843.7228293566668,15780.277170643334
200.0,1929.6349731188,15694.3650268812
210.0,1929.6349731188,15694.3650268812
220.0,1929.6349731188,15694.3650268812
230.0,1929.6349731188,15694.3650268812
240.0,1970.108702839156,15653.891297160844
250.0,1970.108702839156,15653.891297160844
260.0,1970.108702839156,15653.891297160844
270.0,1970.108702839156,15653.891297160844
280.0,1970.108702839156,15653.891297160844
290.0,1970.108702839156,15653.891297160844
300.0,1970.108702839156,15653.891297160844
310.0,1970.108702839156,15653.891297160844
320.0,1970.108702839156,15653.891297160844
330.0,1970.108702839156,15653.891297160844
340.0,1970.108702839156,15653.891297160844
350.0,1970.108702839156,15653.891297160844
360.0,1970.108702839156,15653.891297160844
370.0,1970.108702839156,15653.891297160844
380.0,1970.108702839156,15653.891297160844
390.0,1970.108702839156,15653.891297160844
400.0,1970.108702839156,15653.891297160844
410.0,1970.108702839156,15653.891297160844
420.0,1970.108702839156,15653.891297160844
430.0,1970.108702839156,15653.891297160844
440.0,1970.108702839156,15653.891297160844
450.0,1970.108702839156,15653.891297160844
460.0,1970.108702839156,15653.891297160844
470.0,1970.108702839156,15653.891297160844
480.0,1970.108702839156,15653.891297160844
490.0,1970.108702839156,15653.891297160844
500.0,1970.108702839156,15653.891297160844
510.0,1970.108702839156,15653.891297160844
520.0,1970.108702839156,15653.891297160844
530.0,1970.108702839156,15653.891297160844
540.0,1970.108702839156,15653.891297160844
550.0,1970.108702839156,15653.891297160844
560.0,1970.108702839156,15653.891297160844
570.0,1970.108702839156,15653.891297160844
580.0,1970.108702839156,15653.891297160844
590.0,1970.108702839156,15653.891297160844
600.0,1970.108702839156,15653.891297160844
